"Agency Name","Peoplesoft ID","External ID","Name","Client Contract ID","Project Status","Project Phase","Facility Type","Start Date","End Date","Project Manager Name","Project Manager Email","PIO Name","PIO Email","Description","CNN","On Street","From Street","To Street","Owner Name","Owner Email","CoOrdinate Point","CoOrdinate LineString","dotMapsID","shapeType","co_ordinatePolygon"
"SF DPW BDC - Architecture","10037765","DEC04C71-D53C-EC11-A87F-005056A8369E","Chinatown Public Health Center","_NA","Active","Design","Land","2025 Aug 15 12:00:00 AM","2027 Aug 15 12:00:00 AM","Colin Mosher, Youcef Bouhamama","colin.mosher@sfdpw.org, youcef.bouhamama@sfdpw.org","","","NONE","25115000","Broadway","Mason St","","no owner name","no owner email","POINT (-122.41188814161985 37.79713219239582)","","34243","Point",""
"SF DPW BDC - Architecture","2458J","C1B036F4-3113-4F6B-A8E4-0C1F80F379A4","PW Westside PS Reliability Improvements","NONE","Active","Construction","Roadway","2021 Apr 19 12:00:00 AM","2027 Jun 30 12:00:00 AM","Reggie Stump","Reggie.Stump@sfdpw.org","","","NONE","23431000","41st Ave","Sloat Blvd","","Reggie Stump","reggie.stump@sfdpw.org","POINT (-122.49919633566779 37.73431161636327)","","9759","Point",""
"SF DPW BDC - Architecture","10033726","F739CB8A-F354-EF11-A8AB-005056A8369E","PW ZSFG Bldg 2 Chiller Replace","_NA","Active","Construction","Land","2024 Jun 27 12:00:00 AM","2027 Feb 23 12:00:00 AM","Charles King","Charles.King@sfdpw.org","","","Replace existing chillers and boilers in ZSFG Building 2 Service Building. In addition, install new site electrical to support new electrical loads.","23731000","22nd St","San Bruno Ave","","Gabriel Lim","gabriel.lim@sfdpw.org","POINT (-122.40473226700054 37.756952193945416)","","52356","Point",""
"SF DPW IDC - Electrical","10039596","E147A2C7-D4C4-F011-A8C1-005056A8369E","Contract 66 New Traffic Signals","_NA","Active","Design","Roadway","2027 Jul 01 12:00:00 AM","2029 Jan 10 12:00:00 AM","Jenny Chan","Jenny.Chan@sfdpw.org","","","Contract 66 will install new traffic signals at (12) locations. All new signal locations will have new pedestrian countdown signals (PCS), accessible pedestrian signals (APS), controllers, conduit, wiring, poles, and curb ramps. The (12) locations that will receive traffic signals are 10th Avenue\Lincoln, 39th Avenue\Fulton, 28th Street\Guerrero, 41st Avenue\Lincoln, 4th Street\Long Bridge, 4th Street\Mission Rock, 4th Avenue\Fulton, Mission\Mary\Mint, Cesar Chavez\Florida, Divisadero\Castro\Wal","21777000","Alemany Blvd","Cotter St","","Robert San","robert.san@sfdpw.org","POINT (-122.4349733536293 37.72817129589942)","","52354","Point",""
"SF DPW IDC - Electrical","10033346","0E911AEA-0B17-EC11-A87D-005056A8369E","PW Contract 35 Traffic Signal Upgrade","_NA","Active","Design","Roadway","2026 Apr 28 12:00:00 AM","2028 Jul 05 12:00:00 AM","Mu M Aung","Mu.Aung@sfdpw.org","","","Upgrading Traffic Signal, Curb ramp and Streetlights","27555000","25th Ave","Clement St","","Mu Aung","mu.aung@sfdpw.org","POINT (-122.4848742581304 37.782025494400834)","","31365","Point",""
"SF DPW IDC - Hydraulic","10041307","9C0D2245-F197-F011-A8BD-005056A8369E","11th Ave and Noriega St Sewer Replacement (JV WD-2920)","_NA","Active","Design","Sanitary Sewer","2026 Jun 04 12:00:00 AM","2028 Sep 21 12:00:00 AM","Lesley Wong","Lesley.Wong@sfdpw.org","","","2564i, WD-2920","27113000","11th Ave","Ortega St","","Jocelyn Kung","Jocelyn.Kung@sfdpw.org","POINT (-122.46764262756902 37.75275620871586)","","50488","Point",""
"SF DPW IDC - Hydraulic","10041353","6912059B-7DA3-EF11-A8AE-005056A8369E","8-Inch Ductile Iron Water Main Replacement on Harkness, Goettingen, Brussels, Girard Streets and Various Streets","_NA","Active","Design","Sanitary Sewer","2026 Sep 01 12:00:00 AM","2027 Aug 31 12:00:00 AM","Lesley Wong","Lesley.Wong@sfdpw.org","","","2561i, WD-2918","20842000","Ankeny St","Holyoke St","","Terence Huey","terence.huey@sfdpw.org","POINT (-122.40579707428076 37.71973703598756)","","34475","Point",""
"SF DPW IDC - Hydraulic","10042599","72900184-F397-F011-A8BD-005056A8369E","Chinatown and SOMA Large Diameter Sewer Improvements","_NA","Active","Design","Sanitary Sewer","2027 Jul 31 12:00:00 AM","2028 Jul 30 12:00:00 AM","Lesley Wong","Lesley.Wong@sfdpw.org","","","PW ID 2620I. Rehabilitation of brick and concrete sewers from 2'6""x3'9"" to 10' diameter on 5th Street, 1st Street, The Embarcadero, Broadway, and various side streets.","24757000","Merchant St","Montgomery St","","Jocelyn Kung","Jocelyn.Kung@sfdpw.org","POINT (-122.40322140121386 37.79506632899864)","","50818","Point",""
"SF DPW IDC - Hydraulic","10037742","36C93EE3-F297-F011-A8BD-005056A8369E","Fulton St and 46th Ave Sewer Improvements (JV WD-2885)","_NA","Active","Design","Sanitary Sewer","2026 May 08 12:00:00 AM","2026 May 14 12:00:00 AM","Lesley Wong","Lesley.Wong@sfdpw.org","","","Sewer rehabilitation (cured in place lining) on 46th Ave between Cabrillo and Fulton Street.  Sewer replacement (slipline and new connection) on Fulton Street between 41st and 43rd Avenue.  Joined to SFWD WD-2885 contract.","27974000","46th Ave","Cabrillo St","","Jocelyn Kung","Jocelyn.Kung@sfdpw.org","POINT (-122.50682125899581 37.77340701057019)","","50814","Point",""
"SF DPW IDC - Hydraulic","10041557","311CB1B7-7A99-F011-A8BD-005056A8369E","Mission District Sewer Rehabilitation (VLLD2B)","_NA","Active","Design","Sanitary Sewer","2027 Jun 07 12:00:00 AM","2028 Jun 06 12:00:00 AM","Lesley Wong","Lesley.Wong@sfdpw.org","","","2652I","24119000","21st St","Valencia St","","Nasim Shojaei","nasim.shojaei@sfdpw.org","POINT (-122.42111754035821 37.75690200896124)","","52910","Point",""
